activity_id,day,date,date_source,workout_name,set_number,exercise_raw,exercise,exercise_variant,movement_group,equipment_type,set_type,time_raw,time_seconds,rest_raw,rest_seconds,reps,weight_lb,garmin_volume_lb,volume_lb,volume_matches_garmin
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian,1,Chest Press with Band,Chest Press,,Chest Press,machine,,0:00,0,0:00,0,15,50,750,750,TRUE
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian,2,Chest Press with Band,Chest Press,,Chest Press,machine,,0:00,0,0:00,0,15,50,750,750,TRUE
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian,3,Chest Press with Band,Chest Press,,Chest Press,machine,,0:00,0,0:00,0,14,50,700,700,TRUE
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian,4,Leg Press,Seated Leg Press,,Seated Leg Press,machine,,0:00,0,0:00,0,15,65,975,975,TRUE
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian,5,Leg Press,Seated Leg Press,,Seated Leg Press,machine,,0:00,0,0:00,0,15,65,975,975,TRUE
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian,6,Leg Press,Seated Leg Press,,Seated Leg Press,machine,,0:00,0,0:00,0,15,65,975,975,TRUE
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian,7,Cable Biceps Curl,Biceps Curl,,Biceps Curl,machine,,0:00,0,0:00,0,15,55,825,825,TRUE
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian,8,Cable Biceps Curl,Biceps Curl,,Biceps Curl,machine,,0:00,0,0:00,0,9,55,495,495,TRUE
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian,9,Cable Biceps Curl,Biceps Curl,,Biceps Curl,machine,,0:00,0,0:00,0,13,45,585,585,TRUE
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian,10,Weighted Seated Calf Raise,Calf Extension,,Calf Extension,machine,,0:00,0,0:00,0,15,60,900,900,TRUE
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian,11,Weighted Seated Calf Raise,Calf Extension,,Calf Extension,machine,,0:00,0,0:00,0,15,60,900,900,TRUE
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian,12,Weighted Seated Calf Raise,Calf Extension,,Calf Extension,machine,,0:00,0,0:00,0,15,60,900,900,TRUE
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian,13,Triceps Press-down,Triceps Pulldown,,Triceps Pulldown,machine,,0:00,0,0:00,0,15,65,975,975,TRUE
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian,14,Triceps Press-down,Triceps Pulldown,,Triceps Pulldown,machine,,0:00,0,0:00,0,15,65,975,975,TRUE
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian,15,Triceps Press-down,Triceps Pulldown,,Triceps Pulldown,machine,,0:00,0,0:00,0,15,65,975,975,TRUE
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian,16,Weighted Static Back Extension,Back Extension,,Back Extension,machine,,0:00,0,0:00,0,15,85,1275,1275,TRUE
24097428247,1,2026-08-22,inferred from saved-page relative weekday (workout3=Today on 2026-08-26),Gym w Brian,17,Weighted Static Back Extension,Back Extension,,Back Extension,machine,,0:00,0,0:00,0,15,85,1275,1275,TRUE
